"DateTime","Alexandrium catenella","Dinophysis acuminata","Dinophysis norvegica","Karenia","Margalefidinium polykrikoides","Pseudo-nitzschia"
"2020-03-25 12:38:48",0,0,0,0,0,0
"2020-03-25 16:13:16",0,426,0,0,0,640
"2020-03-25 20:13:30",0,209,0,209,0,209
"2020-03-25 23:47:57",0,429,0,215,0,429
"2020-03-26 03:22:24",212,212,0,424,0,424
"2020-03-26 06:56:51",0,207,0,0,0,414
"2020-03-26 10:30:58",0,215,0,0,0,429
"2020-03-26 14:05:04",0,1063,0,0,0,0
"2020-03-26 18:05:39",0,206,0,0,0,0
"2020-03-26 21:40:06",0,426,0,426,0,426
"2020-03-27 01:13:26",0,207,0,0,0,620
"2020-03-27 04:46:05",0,221,0,0,0,1104
"2020-03-27 08:20:10",0,671,0,0,0,1565
"2020-03-27 11:54:36",215,429,215,0,0,858
"2020-03-27 15:55:09",0,0,0,0,0,0
"2020-03-27 19:29:35",0,203,0,407,0,0
"2020-03-27 23:04:01",204,0,0,0,0,0
"2020-03-28 02:38:06",0,206,0,0,0,206
"2020-03-28 06:12:12",0,627,0,0,0,627
"2020-03-28 09:46:38",0,410,0,0,0,410
"2020-03-28 13:21:04",0,652,217,217,0,869
"2020-03-28 17:20:12",0,210,0,0,0,421
"2020-03-28 20:54:16",0,206,0,206,0,412
"2020-03-29 00:28:43",0,0,0,0,0,636
"2020-03-29 04:03:11",0,0,0,0,0,880
"2020-03-29 07:37:39",0,0,229,0,0,916
"2020-03-29 11:12:06",0,234,0,234,0,1406
"2020-03-29 15:12:40",204,816,0,0,0,0
"2020-03-29 18:47:07",0,449,0,0,0,899
"2020-03-29 22:21:35",0,0,0,211,0,422
"2020-03-30 01:56:03",0,0,0,450,0,1124
"2020-03-30 05:30:10",457,228,0,228,0,685
"2020-03-30 09:04:40",0,0,0,235,0,471
"2020-03-30 13:05:16",0,480,0,0,0,0
"2020-03-30 16:39:24",0,247,0,247,0,1236
"2020-03-30 20:13:53",259,0,0,259,0,1294
"2020-03-30 23:48:21",245,245,0,0,0,1223
"2020-03-31 03:22:52",0,255,0,255,0,2039
"2020-03-31 06:57:21",0,249,0,249,0,997
"2020-03-31 10:57:58",0,247,0,0,0,1975
"2020-03-31 14:31:44",0,209,0,0,209,418
"2020-03-31 18:06:12",0,244,0,0,0,1218
"2020-03-31 21:40:42",0,0,257,0,0,1544
"2020-04-01 01:15:12",222,890,0,0,0,445
"2020-04-01 04:49:43",0,0,0,0,0,2641
"2020-04-01 08:24:13",0,525,0,0,0,1312
"2020-04-01 12:24:51",0,253,0,506,0,506
"2020-04-01 15:59:23",0,262,262,0,0,1047
"2020-04-01 19:33:56",0,0,0,0,0,5607
"2020-04-01 23:08:07",0,571,285,0,0,1998
"2020-04-02 02:42:42",0,0,0,0,0,3370
"2020-04-02 06:16:32",0,0,0,317,0,4127
"2020-04-02 10:17:10",0,280,0,0,0,1118
"2020-04-02 13:51:39",0,816,0,0,0,1632
"2020-04-02 17:26:10",0,425,0,637,0,212
"2020-04-02 21:00:37",0,206,0,0,0,0
"2020-04-03 00:34:46",0,544,0,0,0,1360
"2020-04-03 04:09:17",0,886,0,591,0,2067
"2020-04-03 08:09:56",0,210,0,210,0,210
"2020-04-03 11:44:23",0,527,0,263,0,2369
"2020-04-06 16:14:09",205,411,0,205,0,205
"2020-04-06 22:21:37",0,0,0,0,0,410
"2020-04-07 14:47:13",230,230,230,0,0,461
"2020-04-07 21:20:16",0,509,254,0,0,2034
"2020-04-08 18:06:21",0,240,0,240,0,1442
"2020-04-08 21:40:47",0,252,0,0,0,503
"2020-04-09 01:15:12",0,0,0,0,0,0
"2020-04-09 04:49:39",0,0,0,0,0,511
"2020-04-09 08:24:06",0,451,0,0,0,451
"2020-04-09 11:58:33",248,0,0,248,0,496
"2020-04-09 15:31:12",309,5565,0,0,309,1546
"2020-04-10 21:05:50",0,447,0,0,0,0
"2020-04-11 00:40:17",0,229,0,0,0,915
"2020-04-11 20:31:44",0,1112,0,0,0,0
"2020-04-12 15:39:10",0,685,0,0,0,457
"2020-04-12 19:13:15",0,222,0,0,0,444
"2020-04-12 22:47:42",230,1377,0,0,0,1148
"2020-04-13 02:47:32",0,230,0,0,0,1612
"2020-04-13 06:21:58",226,451,226,0,0,226
"2020-04-13 09:56:25",0,710,0,237,0,1893
"2020-04-13 23:21:11",0,8727,291,291,0,1745
"2020-04-14 03:20:58",0,3355,280,280,0,1398
"2020-04-14 11:31:47",0,485,0,242,0,727
"2020-04-14 20:22:56",0,495,0,0,0,495
"2020-04-15 13:52:59",0,0,0,0,0,0
"2020-04-15 17:33:25",0,567,283,0,0,0
"2020-04-15 21:06:38",0,0,0,0,0,459
"2020-04-16 00:40:43",0,468,0,0,0,0
"2020-04-16 04:14:28",0,0,0,0,0,0
"2020-04-16 07:48:10",0,0,0,0,0,0
"2020-04-16 11:22:38",0,0,0,0,0,0
